x,y,z
-261.536317977,-854.36078543,223.819354661
-12.3234791633,-1208.97042068,3385.1258169
-248.461312083,731.381803211,-308.368758827
-202.386788021,584.748146872,29.6758667346
-330.585702253,-42.8104837046,-464.926730832
-444.398423742,929.031707238,-258.389418713
-1871.87750922,-229.684369856,-370.71322746
-641.67315206,770.425156353,162.435562541
-740.667890263,1129.8516984,344.649818551
-1871.87750922,-229.684369856,-370.71322746
-336.081756191,686.471622431,25.063128991
1091.28946394,1095.16817253,279.208037505
614.551808331,275.000661663,-137.327129005
-122.463105434,1182.9289642,263.105408997
-156.940634743,-705.437987246,-425.519102619
-566.631689298,69.435388042,-530.03316142
-1024.63917021,332.361507601,-206.651467103
676.78017908,-1187.11510015,-688.668583399
-150.696565399,890.996055069,174.476117916
37.9835816032,-1462.16972617,1972.38441244
2198.12997475,1000.37281628,370.023807955
278.936916453,-1008.43343739,-708.087096912
1243.44370061,-276.586198968,-891.238455738
738.762682837,696.883197505,346.924754097
84.4983656406,-869.656621488,2410.0924024
-281.576759562,304.632792197,-125.58472611
2197.00644558,-1481.87832002,-493.400804083
1669.21753243,1375.3032852,263.631262543
-695.780781166,590.929068041,275.974203645
-287.13840932,-971.480163115,-482.327950081
-150.568208308,-1840.48019837,1884.33426863
130.021041422,-865.553431492,-892.800840459
-599.310535359,-486.093982517,-552.607730328
35.3389346344,998.27246452,74.4840939387
119.130292992,-801.564870537,-210.588794224
-757.753226318,-99.8243619653,-441.114015566
-1871.87750922,-229.684369856,-370.71322746
-391.067576151,-277.075696385,-64.3876407652
-49.8715904304,-396.84224675,-350.553674001
-123.255842026,-66.3808860354,-579.98080846
-408.714459371,792.518682273,38.8821099663
-1871.87750922,-229.684369856,-370.71322746
79.6238967918,-1134.00083038,-204.415833324
-961.141901433,234.789448748,-177.16283321
792.208546591,-1183.96881655,-638.080539734
654.996085904,-1143.3774899,-605.249016897
284.872924649,-399.508325208,-876.27302411
-107.8286456,248.752026125,-24.1628318833
1672.17831552,237.587785769,-104.689075811
-821.536748752,1152.38770466,228.551677347
-29.4396348475,666.219305938,298.470819611
1032.79132108,-860.757525004,-717.44374775
1680.77793097,1447.49245112,296.580587111
-278.328302832,854.056504608,43.0828561419
-420.859735466,-924.869939983,-755.000204205
374.856458625,-538.068120098,-405.421397837
-1871.87750922,-229.684369856,-370.71322746
-397.472819182,1048.76103505,359.627435622
-322.676896602,759.912813406,355.205387036
-207.453005617,-1998.78174898,2263.644583
-953.39382672,607.497546688,621.990113806
661.281649488,354.23699521,161.491163385
-116.866434485,-666.449153395,-666.99553395
37.9835816032,-1462.16972617,1972.38441244
-202.053991309,1174.20881557,237.503205079
-673.794035267,-1801.6402074,1433.94531296
215.147997095,-685.733426552,-703.282498686
-412.03084288,-380.798240565,-651.842896079
135.534794465,-649.234228801,-837.474819319
1118.1586788,1149.06325649,332.667848643
452.464811928,-542.431183536,-575.121051314
799.090351466,-1069.75384237,-757.317022423
660.015624396,-553.515663249,-485.696589138
181.606199171,883.330110608,-73.9274947766
154.246153873,-603.967225147,-787.560033586
1801.32691821,1400.51787807,593.458637171
365.060001789,-1120.45325163,-644.858464147
-763.54593379,7.42829424036,-535.451067589
1274.13639371,730.442214989,350.025660767
-207.453005617,-1998.78174898,2263.644583
914.413786339,-1031.51561826,-345.135814844
-715.117314819,515.429060154,1376.58133704
-107.696203068,-394.888576379,-664.531016009
-1256.6035036,622.618939982,58.5965228177
-251.997695803,116.240089275,-384.791937905
181.439950332,1167.11349643,524.416754992
-25.7171179993,95.9282284694,5.49554207664
-397.718889572,1384.09397294,333.629985426
